Guid,Name,Type,BillingCountry,Phone,Website,Description
0004e417-441a-4819-b6f9-e5e83b74e089,Yodel,Customer,United States,1.508.390.1000,#N/A,Prandial Foods is the leader in Consumer Goods in Framingham
00d32c52-6e08-4978-b64b-8f71f79a7f88,KFC,Customer,#N/A,#N/A,#N/A,#N/A
04a3268b-53f3-4b0e-a42f-c4d255b34d64,Kanoodle,Customer,Australia,(02) 7112 6523,#N/A,Sample Company is the leader in Media in Kensington
04c81a48-583b-4b27-bcb2-8e55c8e4fb79,Kwideo,Customer,Australia,(02) 7948 6474,#N/A,Petrox Oil Company is the leader in Energy in Sydney
09bda4d7-695f-4a0b-b92a-bf398bc84a60,Yozio,Customer,Germany,#N/A,#N/A,Tara Shea Micko Hospital is the leader in Healthcare in Berlin
1480433c-f643-46fc-8946-d3b5ef89d7ca,Aibox,Customer,Australia,(02) 6082 8265,#N/A,Spacely Sprockets is the leader in Technology in Kingsgrove
14c77b14-471c-4614-9c85-f96e8980aee1,Popeyes,Customer,#N/A,#N/A,#N/A,#N/A
1822ddd0-e4d0-46f7-820c-30baf2aeaef1,Skalith,Customer,Australia,(07) 8503 6141,#N/A,Mooby Corp is the leader in Chemicals in Fairfield
190eae78-1d8a-4a1b-a360-0aa4522e1e70,Bluejam,Customer,Australia,(03) 7876 8876,#N/A,Globex Corporation is the leader in Food & Beverage in Melbourne
1db1d9d5-c43c-4f8c-800d-ebc2d5a28ad8,Wikizz,Customer,United States,1.917.663.2000,#N/A,Leza College of Engineering is the leader in Higher Education in New York
1e240c84-945b-4530-8cf0-7a1da7338d20,Browsetype,Customer,United States,1.212.485.3500,#N/A,First Response Relief Services is the leader in Non Profit in New York
23cfc53e-9bb3-4a1b-ad25-c82babba634b,Myworks,Customer,United States,1.713.646.4100,#N/A,Wentworth Industries is the leader in Engineering in Houston
26b2a80a-f47d-4052-8e75-daee97bcf2e2,Eadel,Customer,United States,1.210.821.4105,#N/A,"Regal Machine, Inc. is the leader in Automotive in Dallas"
2bcdfb31-f0f2-4bc2-9b99-b0c602cef552,Shake Shack,Customer,#N/A,#N/A,#N/A,#N/A
2d03b667-75fa-4b27-a491-7c8800deadd2,Rhynyx,Customer,United States,1.317.488.6000,#N/A,Kellerman Corp. is the leader in Consumer Goods in Indianapolis
2d5cb3a4-ac10-4439-bcf6-5c483e19bd9d,Gigaclub,Customer,Australia,(03) 6472 8807,#N/A,PK South is the leader in Healthcare in Bacchus Marsh
381f5517-2fee-4a37-80dc-d346bdc662b8,Noba,Customer,United States,1.925.842.1000,#N/A,Audioshore is the leader in Technology in San Ramon
388c2483-8da1-419f-973f-3fd60b39f7a1,Layo,Customer,United States,1.404.715.2600,#N/A,Taggart Transcontinental is the leader in Shipping in Atlanta
3913d091-ef0c-4247-b737-70761214da87,Talane,Customer,France,#N/A,#N/A,Universal Export is the leader in Shipping
3ff11749-9ef5-4dc2-93f9-8ba7f884d552,Saint Mary's College,Customer,#N/A,#N/A,#N/A,#N/A
44199be1-cb53-4fe5-b48a-b2947ba4db19,Babbleopia,Customer,Australia,(03) 8569 6279,#N/A,Praveen Kagalkar Hospital is the leader in Healthcare in Balaclava
4771ca77-b7c9-4e23-b930-e8da7e53ed70,Edgepulse,Customer,France,#N/A,#N/A,St. Francis South Side is the leader in Healthcare in Paris
477ebace-8e7d-47ae-bad1-2a01bb2bb3eb,Vitz,Customer,United States,1.203.373.2211,#N/A,"Signal Processing, LLC is the leader in Technology in Fairfield"
494967e8-82fe-4096-9590-6246cd49ba06,Browsedrive,Customer,Japan,#N/A,#N/A,Wernham Hogg is the leader in Telecommunications
4ce969c8-f705-4077-95e7-8b500fb81b71,Thoughtworks,Customer,Australia,(02) 8210 6814,#N/A,NC North is the leader in Healthcare in Cecil Hills
4d64b258-2b9a-4a7f-a7b8-7e2cdf1202e9,Pixoboo,Customer,United States,1.210.626.6000,#N/A,General Products is the leader in Consumer Goods in San Antonio
4da786fd-b0f1-44d0-8e42-944ba651fa05,Devcast,Customer,Australia,(03) 8426 7995,#N/A,Globo Gym American Corp is the leader in Hospitality in Melbourne
4dab3cba-42dd-4da0-a5c7-52615ceec682,Dynazzy,Customer,United States,1.704.386.5681,#N/A,Velso International is the leader in Manufacturing in Charlotte
4ea353e2-964e-4344-b557-4268403ef491,Dabfeed,Customer,Germany,#N/A,#N/A,SS North is the leader in Healthcare in Bavaria
51531c8e-d9ea-4ad5-84f1-dee3a255ba73,Browsebug,Customer,United States,1.281.293.1000,#N/A,"Optimetrics, LLC is the leader in Technology in Houston"
5339c993-939c-4fd6-9a06-1bc27c638915,Browseblab,Customer,United States,1.212.559.1000,#N/A,Martic-Morales Corp. is the leader in Manufacturing in New York
539a8f4f-a7db-4811-9e69-ceddb0cd5c54,Livefish,Customer,United Kingdom,#N/A,#N/A,Videlectrix is the leader in Electronics
56dcd9a1-938c-41a1-8b73-67b19075e842,Yakitri,Customer,USA,(555) 561-5555,#N/A,Susannah St-Germain Hospital is the leader in Healthcare in Seattle
57711ef2-f0cb-4159-8277-8e7a4a23a0ff,AMC Entertainment,Customer,#N/A,#N/A,#N/A,#N/A
59d0494b-b555-44f6-97f0-080318175bac,Quinu,Customer,United States,1.513.579.7000,#N/A,Capitol Museum of Art is the leader in Non Profit in Cincinnati
5afc6133-c566-4b3c-a893-f380b25c60a0,Regal Cinemas,Customer,#N/A,#N/A,#N/A,#N/A
5d74c790-8589-482f-82d3-6b33f0aba8bf,Jaxworks,Customer,United States,1.212.364.8200,#N/A,Thrift Bank is the leader in Finance in New York
5fcf91c1-8779-4772-9348-6848df2650ba,Realfire,Customer,United States,1.972.444.1000,#N/A,"Custom Metal, LLC is the leader in Automotive in Irving"
635c2e6b-5fb0-4657-897a-4623a93eb61e,Divavu,Customer,United States,1.610.727.7000,#N/A,Apogee Corp. is the leader in Manufacturing in Chesterbrook
6851482d-b91e-4fb8-a48f-8b4d2a934e77,Viva,Customer,Australia,(07) 8057 8902,#N/A,Christian Lavendar Hospital is the leader in Healthcare in Mitchelton
6870a02c-13ba-48ba-9ba7-ee30eaf0b817,Oodoo,Customer,United States,1.650.857.1501,#N/A,Kumatsu Motors is the leader in Automotive in Palo Alto
71d44fa4-50a9-4e80-b64f-46e95b4f4cb5,Quire,Customer,Australia,(02) 6721 8929,#N/A,SB North is the leader in Healthcare in Kensington
720e0be4-db37-427d-9614-1cf32ba36363,Chatterpoint,Customer,United Kingdom,#N/A,#N/A,TF South is the leader in Healthcare in Middlesex
783d9a0b-986d-426c-b331-564c9cce87e0,Twitterwire,Customer,Canada,#N/A,#N/A,Spade and Archer is the leader in Services in BC
78905704-ce61-4cd8-9eff-8374d896e086,Edgeclub,Customer,United States,1.770.433.8211,#N/A,"Cashless Systems, Inc. is the leader in Services in Atlanta"
7a3669df-278a-4691-9cec-25b0977c4f6a,Fliptune,Customer,United States,1.214.981.0700,#N/A,Mammoth Pictures is the leader in Media in Dallas
7dc1ee3d-08f3-49dc-85eb-0eabb0323b05,Voolia,Customer,France,#N/A,#N/A,SS South is the leader in Healthcare in Paris
81cb106a-5630-47e8-a016-aa279d53af75,Fatz,Customer,United States,1.650.253.0000,#N/A,Roxxon is the leader in Retail in Mountain View
831c7b8e-a9f3-4f25-a605-568f32ae9275,Skyba,Customer,United States,1.863.688.1188,#N/A,"Mecurial, Inc. is the leader in Retail in Lakeland"
8dcc54a5-7dc8-4f9a-8c9d-514e1c74ff58,Trilith,Customer,Australia,(08) 7764 6096,#N/A,LexCorp is the leader in Banking in Victoria Park
8e059489-568c-449a-acec-5199c2c63c26,Gabtype,Customer,United States,1.313.322.3000,#N/A,"Tension, Inc. is the leader in Energy in Dearborn"
8f62db6c-3b4d-4cc8-8960-134785f3612d,Mycat,Customer,Australia,(03) 7578 7328,#N/A,Galaxy Corp is the leader in Banking in Melbourne
914939aa-1328-43ef-aed9-39f436d05d39,Thoughtstorm,Customer,Australia,(02) 7820 8765,#N/A,Nordyne Defense Dynamics is the leader in Technology in Wahroonga
9150e3cb-c65b-41f2-8d78-7cb34f641f9c,Jabbersphere,Customer,United States,1.847.286.2500,#N/A,SocialScaling is the leader in Communications in Hoffman Estates
929782cf-1a78-4113-b1fb-a46b3ad39796,Uidoo,Customer,United States,1.973.455.2000,#N/A,Jupiter Consulting is the leader in Energy in Morris Plains
956d6429-6ea8-4f86-9d3c-e6b0ad823938,Meejo,Customer,Australia,(07) 6586 8516,#N/A,McMahon and Tate is the leader in Machinery in Algester
95d8ba77-61c7-4111-ba27-978d5478a60e,Mydo,Customer,United States,1.847.315.2500,#N/A,"Civic Wealth, Inc. is the leader in Financial Services in Deerfield"
9604488d-7049-49c4-b9fa-dcccbcf47cce,Tagtune,Customer,United States,1.703.903.2000,#N/A,Decorum Interior Design is the leader in Hospitality in Mc Lean
982b19f3-d0cc-4164-a300-8b6383054c8b,Oozz,Customer,United States,1.408.526.4000,#N/A,Franklin Research College is the leader in Higher Education in San Jose
98bf8492-6537-4510-ab5e-990bc75291c3,Oyoba,Customer,Australia,(02) 7198 7098,#N/A,Danielle Bogartz Hospital is the leader in Healthcare in Bondi
9ac8c0ed-957d-4b31-a059-833146cdfb9a,Zoovu,Customer,Australia,(03) 8967 7597,#N/A,Extensive Enterprise is the leader in Construction in Melbourne
9b040b78-f598-4cbb-9070-df87dc13ece7,Lazzy,Customer,Australia,(07) 6674 6703,#N/A,Leeding Engines Ltd. is the leader in Manufacturing in Kuraby
a168a4e4-ac8b-4841-9821-4f1b3a1aeaec,Kwimbee,Customer,United States,1.714.566.1000,#N/A,Abilitech Software Solutions is the leader in Technology in Irvine
a1928335-486b-46d0-9c91-6528cda233d4,Kayveo,Customer,Australia,(08) 7367 7550,#N/A,North Central Positronics is the leader in Energy in Bateman
a392d667-aaf5-4c0e-a866-d03784ab0a12,Topicblab,Customer,United States,1.502.580.1000,#N/A,Ankh-Sto Associates is the leader in Apparel in Louisville
a54754e4-4805-43a3-bb28-c16c0017b759,Eamia,Customer,Australia,(02) 8850 8728,#N/A,Burleigh and Stronginthearm is the leader in Communications in Kogarah
a5d348f2-0613-4e8d-9f33-f73bba260c8d,Oloo,Customer,United States,1.309.675.1000,#N/A,Carthage Automotive is the leader in Automotive in Peoria
aa1d7100-1ee9-427c-8a33-ddd320408973,Realcube,Customer,Italy,#N/A,#N/A,TF North is the leader in Healthcare in Turin
aa453586-8997-49ad-bd18-5abf8d373ab8,Twiyo,Customer,United States,1.212.852.7000,#N/A,Enginomics is the leader in Automotive in New York
ac011253-312a-4d32-8534-33162d586410,Shuffletag,Customer,United States,1.415.983.8300,#N/A,Save the Wild is the leader in Non Profit in San Francisco
ac4abfec-03be-4415-9077-75218cc3b0ed,Fiveclub,Customer,United States,1.513.762.4000,#N/A,Hagan University is the leader in Higher Education in Cincinnati
b5e37fb4-bf46-41f2-b608-9c36ba48003d,Plambee,Customer,France,#N/A,#N/A,Sto Plains Holdings is the leader in Agriculture in Paris
b6e6a9ac-1a78-44f7-910b-875fa27f1534,Agimba,Customer,Australia,(03) 8664 6673,#N/A,Minuteman Cafe is the leader in Apparel in Ballan
b9280e35-c7b9-4ad5-92ef-85e19357f9fd,Thoughtmix,Customer,United States,1.404.676.2121,#N/A,Transworld Consortium is the leader in Energy in Atlanta
ba1321ab-0266-4c94-a06c-d2b76c283b7a,Zoomlounge,Customer,Australia,(02) 6837 7271,#N/A,Sixty Second Avenue is the leader in Agriculture in Lansvale
ba4778f0-8543-4316-a329-26d0328801f2,Avaveo,Customer,United States,1.612.291.1000,#N/A,"Kustodial Services, LLC is the leader in Services in Richfield"
bc0159c3-fdf4-4713-b18e-3858343e43f2,Buzzshare,Customer,United States,1.703.876.3000,#N/A,Keading Transportation Services is the leader in Transportation in Falls Church
bd1c1391-847d-44ac-9605-cb309df26aed,Cedar Point,Customer,#N/A,#N/A,#N/A,#N/A
bfe7f95d-5343-41b5-ac95-3da0d5842a3f,Quimm,Customer,United States,1.860.226.6000,#N/A,Trek Broadcasting is the leader in Media in Bloomfield
c14649db-5e6a-42fc-bf5d-057b920e4404,Jabberstorm,Customer,Australia,(02) 6279 8265,#N/A,CG South is the leader in Healthcare in Hunters Hill
c2a05388-6ca3-4299-bb3b-7ad72ae4dd42,Aivee,Customer,Germany,#N/A,#N/A,Virtucon is the leader in Banking in Bavaria
c3615bbc-c734-4153-9fb8-3bf247c9bfc9,Voolith,Customer,United States,1.818.560.1000,#N/A,Larsco College is the leader in Higher Education in Burbank
c87c440b-1e12-405b-b801-a17a92e897a3,Topicstorm,Customer,United States,1.215.286.1700,#N/A,Initech is the leader in Technology in Philadelphia
ca7315d6-f954-48eb-9235-90615da66e72,Trudoo,Customer,Australia,(02) 6548 7709,#N/A,Mr. Sparkle is the leader in Consulting in Canley Vale
ce4c26fb-1ad5-4b49-85cf-3a44ae2b56da,Ooba,Customer,Australia,(03) 6257 7887,#N/A,Gizmonic Institute is the leader in Media in Docklands
d000ffff-9450-4b3d-a2b6-600232f5a2b3,Rhycero,Customer,Australia,(07) 6433 7486,#N/A,Chez Quis is the leader in Retail in Annerley
d05e9d02-980d-40c9-b1f6-bef0c8cbdbba,Photolist,Customer,Australia,(02) 7233 8627,#N/A,CL North is the leader in Healthcare in Avoca Beach
d3c6dd24-7e6b-4746-9f03-077ce67a00c8,Meeveo,Customer,United Kingdom,#N/A,#N/A,Western Gas & Electric is the leader in Biotechnology
d4481c2e-3672-42d1-8e22-c3c1833ca148,Topicware,Customer,Switzerland,#N/A,#N/A,TSM North is the leader in Healthcare
d4fa2e5b-0df6-4cc3-a7eb-a8fd9301c4d4,Meevee,Customer,United States,1.479.290.4000,#N/A,Newslync is the leader in Media in Springdale
dad2339d-c40c-4d46-b344-285b059a7ac2,Skaboo,Customer,Germany,#N/A,#N/A,St Francis West Side is the leader in Healthcare in Baden-WÃ¼rttemberg
decd09af-5845-451e-8e91-34145c0d805f,Camimbo,Customer,United States,5552652358,#N/A,123 Warehousing is the leader in Shipping in Palo Alto
df07f758-4050-4a36-97be-4b73881952d3,Tazz,Customer,United States,1.309.765.8000,#N/A,Fastforward Software is the leader in Technology in Moline
df4755b1-3f79-45df-b567-01f63dbd7355,Mynte,Customer,Australia,(02) 6453 6240,#N/A,Omni Consimer Products is the leader in Government in Chatswood
e14d5c56-5299-4a59-8022-216c13a5e07a,Marriott Hotels,Customer,#N/A,#N/A,#N/A,#N/A
e24e2d85-2d74-4a38-b5e0-338c2f0c4104,Gabcube,Customer,Australia,(08) 8985 7724,#N/A,Charles Townsend Agency is the leader in Apparel in Warradale
e30e70f0-c214-4331-a824-d06d1f8b857c,Brightdog,Customer,United States,1.281.293.6600,#N/A,Your Lesiure Microtels is the leader in Hospitality in Houston
e3d84881-dc38-4472-8750-bb58f11c7afe,Meembee,Customer,United Kingdom,#N/A,#N/A,St. Francis Hospital is the leader in Healthcare in Canary Wharf
e5e72bf1-f570-4b79-95e2-6dab4a46d5cf,Centimia,Customer,United States,1.860.728.7000,#N/A,Tungsten Security Services is the leader in Transportation in Farmington
e6fbac12-16ba-4030-aebd-0b42fcfcc6f2,Eidel,Customer,Germany,#N/A,#N/A,Tessier-Ashpool is the leader in Government in Bavaria
ebab19bc-c310-4e42-96c6-9481d3155131,Mybuzz,Customer,United States,1.212.733.2323,#N/A,Procurabl Holdings Inc. is the leader in Manufacturing in New York
ef919a0d-6060-4bd5-a33c-f236fe69f139,Blognation,Customer,United States,1.732.524.0400,#N/A,Budgetworks is the leader in Financial Services in New Brunswick
f04b1a84-3796-469c-bff1-731cf6f041fb,Jetpulse,Customer,United States,1.212.270.6000,#N/A,Human Rights Defense Fund is the leader in Non Profit in New York
f359fb9f-3d11-455f-b387-c7db9ca17d06,Voonix,Customer,United States,1.513.983.1100,#N/A,ADM Goods is the leader in Consumer Goods in Cincinnati
f42cb8b3-4acf-4191-814e-3577bb0ffb1a,Yakidoo,Customer,France,#N/A,#N/A,Trevor Ferrin Hospital is the leader in Healthcare
f468d033-e59b-4450-91aa-96d6517d816e,Browsecat,Customer,Australia,(02) 8325 6428,#N/A,Rouster and Sideways is the leader in Insurance in Woollahra
f6ddb2c4-13e6-4edd-8eff-2dfa94c0f4dc,Tagopia,Customer,Japan,#N/A,#N/A,Widget Corp is the leader in Technology
f76b7ba1-adcf-45ed-87ee-7e4e216c406f,Topiclounge,Customer,Australia,(02) 8592 7342,#N/A,Demo Company is the leader in Consulting in North Sydney
fbfb7785-6f62-4267-b60a-6fc2f7bcbaaa,Skinte,Customer,United States,1.952.936.1300,#N/A,"Input, Inc. is the leader in Shipping in Minnetonka"
fc6d0277-8b9f-4f55-8933-8ddcfb33411d,Zoombox,Customer,Australia,(02) 8858 6163,#N/A,Corellian Engineering Corporation is the leader in Machinery in Sydney
fe4a0393-e825-4cf1-b2fa-ee693646368e,Omba,Customer,Australia,(07) 7859 6584,#N/A,Matt Stecklein Hospital is the leader in Healthcare in Redcliffe
ff414bb9-ae41-453a-913f-cafb0aaa2c8d,Kimia,Customer,Australia,(02) 6512 8801,#N/A,Smith and Co. is the leader in Transportation in Balgowlah
